#timebase=40000000(ps)
,#voltbase=2000000(uV)
#size=40064
3.92000E-05,4720.000
3.92500E-05,4800.000
3.93000E-05,4880.000
3.93500E-05,4880.000
3.94000E-05,4800.000
3.94500E-05,4720.000
3.95000E-05,4880.000
3.95500E-05,4720.000
3.96000E-05,4800.000
3.96500E-05,4800.000
3.97000E-05,4720.000
3.97500E-05,4800.000
3.98000E-05,4720.000
3.98500E-05,4800.000
3.99000E-05,4800.000
3.99500E-05,4960.000
4.00000E-05,4800.000
4.00500E-05,4800.000
4.01000E-05,4880.000
4.01500E-05,4800.000
4.02000E-05,4720.000
4.02500E-05,4800.000
4.03000E-05,4720.000
4.03500E-05,4800.000
4.04000E-05,4800.000
4.04500E-05,4960.000
4.05000E-05,4880.000
4.05500E-05,4720.000
4.06000E-05,4800.000
4.06500E-05,4800.000
4.07000E-05,4800.000
4.07500E-05,4960.000
4.08000E-05,4800.000
4.08500E-05,4720.000
4.09000E-05,4800.000
4.09500E-05,4960.000
4.10000E-05,4720.000
4.10500E-05,4800.000
4.11000E-05,4880.000
4.11500E-05,4800.000
4.12000E-05,4720.000
4.12500E-05,4800.000
4.13000E-05,4800.000
4.13500E-05,4800.000
4.14000E-05,4800.000
4.14500E-05,4800.000
4.15000E-05,4800.000
4.15500E-05,4880.000
4.16000E-05,4800.000
4.16500E-05,4720.000
4.17000E-05,4880.000
4.17500E-05,4880.000
4.18000E-05,4800.000
4.18500E-05,4720.000
4.19000E-05,4800.000
4.19500E-05,4880.000
4.20000E-05,4880.000
4.20500E-05,4880.000
4.21000E-05,4880.000
4.21500E-05,4800.000
4.22000E-05,4880.000
4.22500E-05,4800.000
4.23000E-05,4800.000
4.23500E-05,4960.000
4.24000E-05,4800.000
4.24500E-05,4880.000
4.25000E-05,4880.000
4.25500E-05,4720.000
4.26000E-05,4720.000
4.26500E-05,4800.000
4.27000E-05,4720.000
4.27500E-05,4800.000
4.28000E-05,4800.000
4.28500E-05,4720.000
4.29000E-05,4880.000
4.29500E-05,4720.000
4.30000E-05,4880.000
4.30500E-05,4800.000
4.31000E-05,4800.000
4.31500E-05,4800.000
4.32000E-05,4800.000
4.32500E-05,4960.000
4.33000E-05,4880.000
4.33500E-05,4960.000
4.34000E-05,4720.000
4.34500E-05,4720.000
4.35000E-05,4800.000
4.35500E-05,4720.000
4.36000E-05,4800.000
4.36500E-05,4800.000
4.37000E-05,4880.000
4.37500E-05,4880.000
4.38000E-05,4800.000
4.38500E-05,4880.000
4.39000E-05,4800.000
4.39500E-05,4800.000
4.40000E-05,4880.000
4.40500E-05,4800.000
4.41000E-05,4800.000
4.41500E-05,4640.000
4.42000E-05,4800.000
4.42500E-05,4720.000
4.43000E-05,4720.000
4.43500E-05,4800.000
4.44000E-05,4720.000
4.44500E-05,4800.000
4.45000E-05,4800.000
4.45500E-05,4720.000
4.46000E-05,4880.000
4.46500E-05,4800.000
4.47000E-05,4880.000
4.47500E-05,4800.000
4.48000E-05,4880.000
4.48500E-05,4800.000
4.49000E-05,4960.000
4.49500E-05,4800.000
4.50000E-05,4960.000
4.50500E-05,4880.000
4.51000E-05,4720.000
4.51500E-05,4720.000
4.52000E-05,4800.000
4.52500E-05,4880.000
4.53000E-05,4880.000
4.53500E-05,4960.000
4.54000E-05,4880.000
4.54500E-05,4720.000
4.55000E-05,4800.000
4.55500E-05,4800.000
4.56000E-05,4880.000
4.56500E-05,4880.000
4.57000E-05,4880.000
4.57500E-05,4880.000
4.58000E-05,4880.000
4.58500E-05,4720.000
4.59000E-05,4720.000
4.59500E-05,4800.000
4.60000E-05,4720.000
4.60500E-05,4800.000
4.61000E-05,4800.000
4.61500E-05,4880.000
4.62000E-05,4880.000
4.62500E-05,4800.000
4.63000E-05,4720.000
4.63500E-05,4720.000
4.64000E-05,4800.000
4.64500E-05,4720.000
4.65000E-05,4800.000
4.65500E-05,4960.000
4.66000E-05,4880.000
4.66500E-05,4880.000
4.67000E-05,4800.000
4.67500E-05,4720.000
4.68000E-05,4880.000
4.68500E-05,4880.000
4.69000E-05,4880.000
4.69500E-05,4800.000
4.70000E-05,4960.000
4.70500E-05,4880.000
4.71000E-05,4720.000
4.71500E-05,4880.000
4.72000E-05,4880.000
4.72500E-05,4800.000
4.73000E-05,4720.000
4.73500E-05,4800.000
4.74000E-05,4720.000
4.74500E-05,4880.000
4.75000E-05,4800.000
4.75500E-05,4880.000
4.76000E-05,4960.000
4.76500E-05,4880.000
4.77000E-05,4720.000
4.77500E-05,4880.000
4.78000E-05,4960.000
4.78500E-05,4960.000
4.79000E-05,4800.000
4.79500E-05,4800.000
4.80000E-05,4800.000
4.80500E-05,4960.000
4.81000E-05,4880.000
4.81500E-05,4720.000
4.82000E-05,4800.000
4.82500E-05,4800.000
4.83000E-05,4880.000
4.83500E-05,4800.000
4.84000E-05,4880.000
4.84500E-05,4880.000
4.85000E-05,4880.000
4.85500E-05,4960.000
4.86000E-05,4800.000
4.86500E-05,4720.000
4.87000E-05,4800.000
4.87500E-05,4960.000
4.88000E-05,4880.000
4.88500E-05,4720.000
4.89000E-05,4800.000
4.89500E-05,4720.000
4.90000E-05,4880.000
4.90500E-05,4880.000
4.91000E-05,4880.000
4.91500E-05,4800.000
4.92000E-05,4880.000
4.92500E-05,4720.000
4.93000E-05,4800.000
4.93500E-05,4960.000
4.94000E-05,4800.000
4.94500E-05,4720.000
4.95000E-05,4800.000
4.95500E-05,4880.000
4.96000E-05,4880.000
4.96500E-05,4800.000
4.97000E-05,4880.000
4.97500E-05,4880.000
4.98000E-05,4800.000
4.98500E-05,4800.000
4.99000E-05,4960.000
4.99500E-05,4800.000
5.00000E-05,4800.000
5.00500E-05,4880.000
5.01000E-05,4800.000
5.01500E-05,4720.000
5.02000E-05,4800.000
5.02500E-05,4720.000
5.03000E-05,4720.000
5.03500E-05,4960.000
5.04000E-05,4800.000
5.04500E-05,4880.000
5.05000E-05,4720.000
5.05500E-05,4800.000
5.06000E-05,4800.000
5.06500E-05,4880.000
5.07000E-05,4880.000
5.07500E-05,4800.000
5.08000E-05,4720.000
5.08500E-05,4800.000
5.09000E-05,4800.000
5.09500E-05,4800.000
5.10000E-05,4880.000
5.10500E-05,4800.000
5.11000E-05,4720.000
5.11500E-05,4880.000
5.12000E-05,4880.000
5.12500E-05,4880.000
5.13000E-05,4800.000
5.13500E-05,4800.000
5.14000E-05,4800.000
5.14500E-05,4720.000
5.15000E-05,4800.000
5.15500E-05,4720.000
5.16000E-05,4720.000
5.16500E-05,4880.000
5.17000E-05,4960.000
5.17500E-05,4880.000
